,game_id,passer_player_name,posteam,defteam,season,week,passing_yards,home_flag_passer,pass_attempts,roof,surface,completion_percentage_ewma_passer,pass_attempts_ewma_passer,air_yards_ewma_passer,yards_after_catch_ewma_passer,epa_ewma_passer,interception_ewma_passer,qb_hit_ewma_passer,sack_ewma_passer,pass_touchdown_ewma_passer,passing_yards_ewma_passer,cpoe_ewma_passer,home_flag_defense,completion_percentage_ewma_defense,pass_attempts_ewma_defense,air_yards_ewma_defense,yards_after_catch_ewma_defense,epa_ewma_defense,interception_ewma_defense,qb_hit_ewma_defense,sack_ewma_defense,pass_touchdown_ewma_defense,passing_yards_ewma_defense,cpoe_ewma_defense
730,2017_07_JAX_IND,B.Bortles,JAX,IND,2017,7,330.0,False,26.0,closed,fieldturf,0.6438064062660867,29.20054945054945,175.98351648351647,130.13186813186815,-6.060264993499923,0.9807692307692308,6.997252747252746,3.8736263736263736,0.8516483516483517,200.62637362637363,-5.160170978242225,True,0.7193473873885122,34.17032967032967,305.3104395604396,125.33516483516483,6.7004041606253315,0.8983516483516485,5.7967032967032965,1.3956043956043958,1.3214285714285716,314.3076923076923,6.962800337390586
732,2017_09_CIN_JAX,B.Bortles,JAX,CIN,2017,9,259.0,True,38.0,outdoors,grass,0.6761554006797288,27.06587374199451,236.6889295516926,162.72552607502288,10.055101880652034,0.3266239707227814,4.998170173833486,1.956999085086917,0.9505946935041172,286.91491308325715,3.7494805602992436,False,0.6338685965276267,35.001829826166514,273.8911253430924,128.0860018298262,-1.36554267050908,0.7749313815187557,5.766697163769443,3.220494053064959,1.878316559926807,234.8408051235133,0.012928735686351693
733,2017_10_LAC_JAX,B.Bortles,JAX,LAC,2017,10,273.0,True,49.0,outdoors,grass,0.6464332182778092,34.35640243902439,266.23414634146343,143.572256097561,13.185696760910314,0.10884146341463417,4.99939024390244,0.6521341463414636,0.9835365853658538,268.30213414634153,2.0025852565721767,False,0.6952169221348881,42.18567073170732,341.2911585365854,145.28018292682927,0.9498299754247433,0.39542682926829276,5.123475609756098,3.334146341463415,0.8054878048780488,288.9603658536586,2.3410009580051026
734,2017_11_JAX_CLE,B.Bortles,JAX,CLE,2017,11,154.0,False,30.0,outdoors,grass,0.596427596859447,44.11929681942892,416.75236256478,129.1900213392948,-1.3229572294979672,1.369677878264404,8.333299461436846,2.2174575754496497,0.9945127527690275,271.4342038410731,-5.168693947011942,True,0.6667293809243013,29.567930088405653,191.27659790671683,146.06980997866071,2.7134658805287812,0.9222639975612236,6.918300985672189,3.098262371710192,2.547810181892084,253.31653287267557,-0.767170033159567
735,2017_12_JAX_ARI,B.Bortles,JAX,ARI,2017,12,160.0,False,31.0,closed,grass,0.5765866380734522,34.706272862755725,251.5813236688796,95.72944045522286,-4.7131477375370325,0.45654382874949195,5.444384229779163,2.072483403332882,0.9981709795420673,193.14340875220162,-4.427276270073162,True,0.6897813795497062,32.611875084676875,291.38761685408485,92.90340062322178,0.04648816741396301,0.7856997696789053,7.497798401300638,2.195569706001897,1.8389107167050533,237.83101883213658,6.400858894561852
736,2017_13_IND_JAX,B.Bortles,JAX,IND,2017,13,309.0,True,35.0,outdoors,grass,0.6007978409259892,32.23541033949398,253.19378365867706,113.24324568435077,-7.683485141905234,0.8188499881453717,4.481455974168201,2.690831291702889,0.3327199033565534,171.04767818635477,-8.019803821973937,False,0.6884022122853499,26.33810529168031,219.72507423255394,104.08767908956456,-0.2850858930388124,1.559256206744719,1.4723900059837651,0.45841283461099885,1.2482359183949965,201.3421923159428,0.8257451143167109
738,2017_14_SEA_JAX,B.Bortles,JAX,SEA,2017,14,268.0,True,27.0,outdoors,grass,0.6955042306381447,34.07847358121331,254.39793015203975,123.08110040644287,9.569197338946017,0.27294896883937986,2.1604809573987658,1.5636083094987203,1.4442420593105525,263.01606578353153,4.980940863967444,False,0.6526736156766259,41.32098825831702,450.8197877465,81.24124266144815,-0.4903311651226414,0.8978473581213308,11.98580460635255,2.855095589342165,1.0737919614631943,305.22442420593103,5.22589828673827
739,2017_15_HOU_JAX,B.Bortles,JAX,HOU,2017,15,326.0,True,29.0,outdoors,grass,0.6762791891775336,29.359488233869946,237.4659660971874,106.36035631447099,10.488110377620785,0.0909828754793574,1.386826500543805,0.5212021160091876,1.814747585494022,266.3386906785455,2.7961049037036196,False,0.6474945842930767,29.4592246735603,352.0182572905599,122.20210973692893,5.402196990279462,0.7180143032586892,6.073983800010286,1.937443000849264,0.9974672619458302,278.73429457788325,4.984106984048999
740,2017_16_JAX_SF,B.Bortles,JAX,SF,2017,16,382.0,False,47.0,outdoors,grass,0.7081850045697756,29.119829361183264,184.4886442894872,169.4534652960254,15.947279745033496,0.030327612478277102,3.1289425310811194,0.8404007720729053,2.6049160270359324,306.11290520864867,10.208984175017365,True,0.664304354007369,32.79654892108833,322.0742948729743,55.495639945740805,4.921260284192474,0.028496531860551868,4.587007063396619,1.509225234206041,1.9261542205592843,229.85365739432086,6.682552370647963
741,2017_17_JAX_TEN,B.Bortles,JAX,TEN,2017,17,158.0,False,32.0,outdoors,grass,0.6899623617670649,41.039943951127704,321.4962243114562,167.1511549382232,5.7826412765256325,2.0101093421338185,4.376314263958521,0.9468002647727988,2.2016386475735503,356.7043052620179,2.9050365492661343,True,0.6123453846100687,38.83485765395634,306.00645442934814,167.79321169153943,11.327389738783644,0.025621744263987802,5.235105171084124,2.1005480139043353,2.927058968816159,310.3468440032989,0.19322271133330501
742,2017_18_BUF_JAX,B.Bortles,JAX,BUF,2017,18,87.0,True,22.0,outdoors,grass,0.5424874504964282,35.01331451037384,346.49874201797485,123.71705063707526,-7.879906380731179,2.003369780554709,4.792104764311892,1.648933437901889,0.7338795150942976,224.23476534332931,-10.656465335321888,False,0.7047007512022393,38.97215095598457,267.84923083570595,149.86928839177526,-1.6344410721659728,1.1221750693200319,3.5948056901896357,1.3892376004490006,1.1405493380215728,255.46051499394144,3.404612662086678
